condition,seed,task_name,kind,auc_token_accuracy,auc_exact_match
baseline,3,C01_substitute_then_reverse_04_06,composite,0.5570125757237835,0.0372130254955243
baseline,3,C02_copy_then_substitute_06_04,composite,0.5577741365503434,0.037767493206521736
baseline,3,C03_reverse_then_substitute_07_02,composite,0.1728569799498238,0.0008017303388746803
baseline,3,C04_substitute_then_reverse_03_06,composite,0.8213207158402961,0.4524493985773657
baseline,3,C05_copy_then_substitute_06_07,composite,0.5564737202733031,0.0386516444213555
baseline,3,C06_reverse_then_substitute_05_07,composite,0.1739351103842125,0.0018145080722506393
baseline,3,C07_substitute_then_reverse_01_04,composite,0.8235558669423432,0.4616830342870844
baseline,3,K00_shortcut_for_A02_substitute,shortcut,0.8192166973422269,0.4425201806265985
baseline,3,K01_shortcut_for_A05_substitute,shortcut,0.8231052532101341,0.45418523217711
baseline,3,K02_shortcut_for_A03_copy,shortcut,0.8238572370310974,0.4557512288203325
baseline,3,S00_surface_rotate,surface_control,0.47672714886095974,0.003311820652173913
baseline,3,S01_surface_rotate,surface_control,0.17612238519389153,0.0
baseline,3,S02_surface_rotate,surface_control,0.16451706756811466,0.0
baseline,3,U00_unrelated_substitute,unrelated,0.027041748951664394,0.0
baseline,3,U01_unrelated_substitute,unrelated,0.0269713998921668,0.0
baseline,3,U02_unrelated_substitute,unrelated,0.020965290402926856,0.0
baseline,4,A00_copy,atomic,0.8157240050568548,0.44295975863171355
baseline,4,A01_reverse,atomic,0.5435253117004852,0.026939138427109974
baseline,4,A02_substitute,atomic,0.03164836866697748,0.0
baseline,4,A03_copy,atomic,0.8134838637069363,0.4376735833599744
baseline,4,A04_reverse,atomic,0.5419068661115855,0.02783952405690537
baseline,4,A05_substitute,atomic,0.03361939326466997,0.0
baseline,4,A06_copy,atomic,0.8153718425666013,0.4441286365089514
baseline,4,A07_reverse,atomic,0.5392057106561025,0.022615788842710996
baseline,4,C00_reverse_then_substitute_04_03,composite,0.5439802930711786,0.026108685661764705
baseline,4,C01_substitute_then_reverse_04_06,composite,0.5410909899165068,0.02473750199808184
baseline,4,C02_copy_then_substitute_06_04,composite,0.5398892229172827,0.02638342191496164
baseline,4,C03_reverse_then_substitute_07_02,composite,0.13593554604784264,0.0
baseline,4,C04_substitute_then_reverse_03_06,composite,0.8156230633713953,0.4441586077365729
baseline,4,C05_copy_then_substitute_06_07,composite,0.5424261578380147,0.029499180786445013
baseline,4,C06_reverse_then_substitute_05_07,composite,0.13579130929935238,0.0
baseline,4,C07_substitute_then_reverse_01_04,composite,0.8148232074549703,0.44320702125959077
baseline,4,K00_shortcut_for_A02_substitute,shortcut,0.8152286453610834,0.44482921395460356
baseline,4,K01_shortcut_for_A05_substitute,shortcut,0.8158834359973021,0.4429460218190537
baseline,4,K02_shortcut_for_A03_copy,shortcut,0.8156101558074031,0.4422529371803069
baseline,4,S00_surface_rotate,surface_control,0.46935568060583016,0.0023202725383631713
baseline,4,S01_surface_rotate,surface_control,0.04428311467023038,0.0
baseline,4,S02_surface_rotate,surface_control,0.05260679079934269,0.0
baseline,4,U00_unrelated_substitute,unrelated,0.027922569996798808,0.0
baseline,4,U01_unrelated_substitute,unrelated,0.02918302723625793,0.0
baseline,4,U02_unrelated_substitute,unrelated,0.020086550743014193,0.0
