pair_id,pair_type,source_task,target_task,filler_task,seed,n_dose_levels,slope_target_final_token_accuracy,slope_target_auc_token_accuracy,slope_target_final_exact_match,slope_target_auc_exact_match,slope_target_final_loss,slope_target_acquisition_transfer
P006_A01_reverse__to__C00_reverse_then_substitute_01_06,component_to_composite,A01_reverse,C00_reverse_then_substitute_01_06,U03_unrelated_substitute,0,4,0.10078123978206086,0.02946404720004956,0.002008928571428571,0.00011136917453543997,-0.4658079964773996,
P006_A01_reverse__to__C00_reverse_then_substitute_01_06,component_to_composite,A01_reverse,C00_reverse_then_substitute_01_06,U03_unrelated_substitute,1,4,0.08005953516278938,0.029105551622211043,0.002008928571428571,0.00043786171184893695,-0.288273634229388,
P006_A01_reverse__to__C00_reverse_then_substitute_01_06,component_to_composite,A01_reverse,C00_reverse_then_substitute_01_06,U03_unrelated_substitute,2,4,0.07254463945116309,0.030908159942496915,0.002008928571428571,0.0003445781297593199,-0.2175263268607005,
P007_C00_reverse_then_substitute_01_06__to__A01_reverse,composite_to_component_reverse,C00_reverse_then_substitute_01_06,A01_reverse,U01_unrelated_substitute,0,4,0.053273820877075106,0.017148474714072798,0.002008928571428571,0.00011136917453543997,-0.2206875392368861,
P007_C00_reverse_then_substitute_01_06__to__A01_reverse,composite_to_component_reverse,C00_reverse_then_substitute_01_06,A01_reverse,U01_unrelated_substitute,1,4,0.04869791950498308,0.015113648273189192,0.0022321428571428566,0.00012374352726159997,-0.16384286880493173,
P007_C00_reverse_then_substitute_01_06__to__A01_reverse,composite_to_component_reverse,C00_reverse_then_substitute_01_06,A01_reverse,U01_unrelated_substitute,2,4,0.03061755384717663,0.01215780110955415,0.0,0.0,-0.10373257909502295,
P008_S00_surface_rotate__to__A04_reverse,control_or_surface,S00_surface_rotate,A04_reverse,U02_unrelated_substitute,0,4,0.05535714626312251,0.01782347032669252,0.00022321428571428565,1.2374352726159994e-05,-0.19576907157897958,
P008_S00_surface_rotate__to__A04_reverse,control_or_surface,S00_surface_rotate,A04_reverse,U02_unrelated_substitute,1,4,0.017671128681727696,0.022791138631094516,-0.00022321428571428614,1.09465427961829e-05,-0.03571968078613297,
P008_S00_surface_rotate__to__A04_reverse,control_or_surface,S00_surface_rotate,A04_reverse,U02_unrelated_substitute,2,4,0.02961310659136083,0.019694182389176605,0.0,-0.0001451606762107429,-0.09276437759399413,
P009_A07_reverse__to__A04_reverse,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,0,4,0.03370536395481647,0.011987893514736765,0.00357142857142857,0.00019798964361861137,-0.14121882574898842,
P009_A07_reverse__to__A04_reverse,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,1,4,0.0027157562119619646,0.016956710108271305,6.879030267300243e-19,0.00023320895522388555,-0.0302105631147116,
P009_A07_reverse__to__A04_reverse,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,2,4,0.017224710328238357,0.013273198867657512,0.0,0.0,-0.06263472693307065,
P010_A05_substitute__to__A02_substitute,same_operation_reverse,A05_substitute,A02_substitute,K00_shortcut_for_A00_copy,0,4,0.011383942195347264,-0.009778275950140894,0.00022321428571428042,-0.00016300830033504592,-0.03713877882276269,
P010_A05_substitute__to__A02_substitute,same_operation_reverse,A05_substitute,A02_substitute,K00_shortcut_for_A00_copy,1,4,0.0011904954910277948,-0.016343425631527683,-0.002232142857142861,-0.0003721824550715776,-0.024931355885096936,
P010_A05_substitute__to__A02_substitute,same_operation_reverse,A05_substitute,A02_substitute,K00_shortcut_for_A00_copy,2,4,0.0117187431880404,-0.00915011993966529,-0.007812500000000009,-0.001913979211087424,-0.049582839012145816,
P011_A06_copy__to__C03_reverse_then_substitute_01_06,component_to_composite,A06_copy,C03_reverse_then_substitute_01_06,U03_unrelated_substitute,0,4,0.026450894560132606,0.00397744112821961,0.0,0.0,-0.10281257629394569,
P011_A06_copy__to__C03_reverse_then_substitute_01_06,component_to_composite,A06_copy,C03_reverse_then_substitute_01_06,U03_unrelated_substitute,1,4,0.00907737868172777,0.004557250713021144,0.008258928571428568,0.0007986216874809599,-0.010260725021362507,
P011_A06_copy__to__C03_reverse_then_substitute_01_06,component_to_composite,A06_copy,C03_reverse_then_substitute_01_06,U03_unrelated_substitute,2,4,0.005208328792027016,0.0010781149792662885,-0.002008928571428572,9.851888516600565e-05,-0.017880133220127797,
