task_name,kind,op,bits,components,frequency,reference_learnability,formal_utility,description,backend,structure_id,operation,control_type,control_for
P15_parity_d1_9,atomic,parity_bits,9,,0.005383460682491434,1.0,0.0,Sparse parity task 15: parity over 1 bits.,B2_sparse_parity,P15_parity_d1_9,parity_bits,,
P16_parity_d3_1_24_27,atomic,parity_bits,"1,24,27",,0.005732809198666229,3.0,0.0,Sparse parity task 16: parity over 3 bits.,B2_sparse_parity,P16_parity_d3_1_24_27,parity_bits,,
P17_parity_d2_16_32,atomic,parity_bits,"16,32",,0.0386391817571139,2.0,0.0,Sparse parity task 17: parity over 2 bits.,B2_sparse_parity,P17_parity_d2_16_32,parity_bits,,
P18_parity_d3_9_12_31,atomic,parity_bits,"9,12,31",,0.060357091809449245,3.0,0.0,Sparse parity task 18: parity over 3 bits.,B2_sparse_parity,P18_parity_d3_9_12_31,parity_bits,,
P19_parity_d2_2_26,atomic,parity_bits,"2,26",,0.012288545529828833,2.0,0.0,Sparse parity task 19: parity over 2 bits.,B2_sparse_parity,P19_parity_d2_2_26,parity_bits,,
P20_parity_d3_5_21_34,atomic,parity_bits,"5,21,34",,0.01313597506840798,3.0,0.0,Sparse parity task 20: parity over 3 bits.,B2_sparse_parity,P20_parity_d3_5_21_34,parity_bits,,
P21_parity_d1_31,atomic,parity_bits,31,,0.022028975322727084,1.0,0.0,Sparse parity task 21: parity over 1 bits.,B2_sparse_parity,P21_parity_d1_31,parity_bits,,
P22_parity_d3_8_26_30,atomic,parity_bits,"8,26,30",,0.018025815672687205,3.0,0.0,Sparse parity task 22: parity over 3 bits.,B2_sparse_parity,P22_parity_d3_8_26_30,parity_bits,,
P23_parity_d2_15_39,atomic,parity_bits,"15,39",,0.016506561293344022,2.0,0.0,Sparse parity task 23: parity over 2 bits.,B2_sparse_parity,P23_parity_d2_15_39,parity_bits,,
P24_parity_d2_3_36,atomic,parity_bits,"3,36",,0.02473588972067651,2.0,0.0,Sparse parity task 24: parity over 2 bits.,B2_sparse_parity,P24_parity_d2_3_36,parity_bits,,
P25_parity_d3_11_22_35,atomic,parity_bits,"11,22,35",,0.009253996853954038,3.0,0.0,Sparse parity task 25: parity over 3 bits.,B2_sparse_parity,P25_parity_d3_11_22_35,parity_bits,,
P26_parity_d3_7_30_33,atomic,parity_bits,"7,30,33",,0.2773283682956775,3.0,0.0,Sparse parity task 26: parity over 3 bits.,B2_sparse_parity,P26_parity_d3_7_30_33,parity_bits,,
P27_parity_d2_14_25,atomic,parity_bits,"14,25",,0.0152143519048169,2.0,0.0,Sparse parity task 27: parity over 2 bits.,B2_sparse_parity,P27_parity_d2_14_25,parity_bits,,
P28_parity_d3_19_24_30,atomic,parity_bits,"19,24,30",,0.01410242866082841,3.0,0.0,Sparse parity task 28: parity over 3 bits.,B2_sparse_parity,P28_parity_d3_19_24_30,parity_bits,,
P29_parity_d1_17,atomic,parity_bits,17,,0.010873399265131487,1.0,0.0,Sparse parity task 29: parity over 1 bits.,B2_sparse_parity,P29_parity_d1_17,parity_bits,,
P30_parity_d1_18,atomic,parity_bits,18,,0.011539700592203682,1.0,0.0,Sparse parity task 30: parity over 1 bits.,B2_sparse_parity,P30_parity_d1_18,parity_bits,,
P31_parity_d2_7_37,atomic,parity_bits,"7,37",,0.006345946891298126,2.0,0.0,Sparse parity task 31: parity over 2 bits.,B2_sparse_parity,P31_parity_d2_7_37,parity_bits,,
P32_parity_d3_1_16_37,atomic,parity_bits,"1,16,37",,0.005552894823372299,3.0,0.0,Sparse parity task 32: parity over 3 bits.,B2_sparse_parity,P32_parity_d3_1_16_37,parity_bits,,
P33_parity_d1_39,atomic,parity_bits,39,,0.08282489924278227,1.0,0.0,Sparse parity task 33: parity over 1 bits.,B2_sparse_parity,P33_parity_d1_39,parity_bits,,
P34_parity_d1_24,atomic,parity_bits,24,,0.12937825855446872,1.0,0.0,Sparse parity task 34: parity over 1 bits.,B2_sparse_parity,P34_parity_d1_24,parity_bits,,
P35_parity_d2_0_37,atomic,parity_bits,"0,37",,0.006579015600673572,2.0,0.0,Sparse parity task 35: parity over 2 bits.,B2_sparse_parity,P35_parity_d2_0_37,parity_bits,,
